evidence_id,domain,study_type,peer_reviewed,original_empirical,population,n,stimulus,conditions_design,measure,effect,limitations,directness,doi,pmid,title,year,authors,journal
COL-01,"Color, spectral sensitivity, luminance, and contrast",behavioral,yes,yes,"awake domestic cats",NR,"red and green fields","brightness cues controlled; discrimination training","choice accuracy","demonstrated red-green discrimination under controlled brightness","foundational study; sample not stated in indexed record; apparatus unlike video",supporting,"10.1126/science.144.3617.427",14169338,"Color discrimination in the cat",1964,"Sechzer JA; Brown JL",Science
COL-02,"Color, spectral sensitivity, luminance, and contrast",behavioral,yes,yes,"awake domestic cats",NR,"colored stimuli","operant discrimination","choice accuracy","behavioral evidence for chromatic discrimination","small foundational cohort; full conditions require article",supporting,"10.1152/jn.1964.27.3.323",,"Behavioral evidence for color discrimination in cat",1964,"Mello NK; Peterson NJ",Journal of Neurophysiology
COL-03,"Color, spectral sensitivity, luminance, and contrast",neurophysiology,yes,yes,"laboratory cats",NR,"monochromatic lights on adapted backgrounds","single-unit optic tract and geniculate recordings","spectral thresholds","rod and cone mechanisms changed with adaptation","invasive physiology; likely anesthetized; capacity only",indirect,,5767891,"Cat colour vision: one cone process or several?",1969,"Daw NW; Pearlman AL",Journal of Physiology
COL-04,"Color, spectral sensitivity, luminance, and contrast",neurophysiology,yes,yes,"laboratory cats",NR,"spectral stimulation","retinal and visual-pathway physiological measurements","spectral response mechanisms","reported signals consistent with more than two chromatic mechanisms","invasive foundational physiology; does not establish awake color preference or human-like trichromacy",indirect,"10.1126/science.910161",910161,"Trichromatic vision in the cat",1977,"Ringo J; Wolbarsht ML; Wagner HG; Crocker R; Amthor F",Science
COL-05,"Color, spectral sensitivity, luminance, and contrast",behavioral,yes,yes,"awake domestic cats",NR,"colored targets of varied size","two-choice discrimination","choice accuracy","stimulus size altered measured color performance","small trained cohort; attention and learning may affect thresholds",direct,"10.1126/science.628838",628838,"Cat color vision: the effect of stimulus size",1978,"Loop MS; Bruce LL",Science
COL-06,"Color, spectral sensitivity, luminance, and contrast",neurophysiology,yes,yes,"laboratory cats",NR,"chromatic fields","visual-pathway recordings","unit responses","identified neural signals capable of supporting color discrimination","anesthetized/invasive physiology; cannot establish preference",indirect,"10.1016/0042-6989(78)90193-1",,"The neural basis for colour discrimination in the domestic cat",1978,"Hammond P",Vision Research
COL-07,"Color, spectral sensitivity, luminance, and contrast",behavioral,yes,yes,"awake domestic cats",NR,"colored targets varying size shape and distance","trained choice task","discrimination accuracy","geometry and viewing distance changed apparent color discrimination","small trained cohort; CRT-era laboratory stimuli",direct,"10.1016/0042-6989(79)90135-4",,"Cat color vision: the effect of stimulus size, shape and viewing distance",1979,"Loop MS; Bruce LL; Petuchowski S",Vision Research
COL-08,"Color, spectral sensitivity, luminance, and contrast",behavioral,yes,yes,"awake domestic cats",2,"neutral-point color pairs","two-choice psychophysics with brightness controls","choice threshold","supported dichromatic rather than human-like color vision","n=2; highly trained animals; no content preference outcome",supporting,"10.1016/j.exer.2016.10.002",27720709,"Neutral point testing of color vision in the domestic cat",2016,"Clark DL; Clark RA",Experimental Eye Research
SPA-01,"Spatial acuity, temporal resolution, and display rendering",behavioral,yes,yes,"awake domestic cats",3,"temporally modulated light","operant flicker detection across luminance and modulation","critical fusion and sensitivity","CFF varied from 40 to 55 Hz and depended on conditions","n=3; 1970s apparatus; values are not a universal display requirement",direct,"10.1016/0042-6989(75)90302-8",,"Temporal modulation sensitivity of the cat I: behavioral measures",1975,"Loop MS; Berkley MA",Vision Research
SPA-02,"Spatial acuity, temporal resolution, and display rendering",behavioral,yes,yes,"normally reared kittens",NR,"gratings","longitudinal behavioral testing","cycles per degree","acuity developed toward adult levels over early months","developmental cohort; sample not in indexed abstract",supporting,"10.1016/0042-6989(76)90197-8",,"Visual resolution in young kittens",1976,"Mitchell DE; Giffin F; Wilkinson F; Anderson P; Smith ML",Vision Research
SPA-03,"Spatial acuity, temporal resolution, and display rendering",behavioral,yes,yes,"awake domestic cats",NR,"spatial gratings modulated over time","trained discrimination","contrast sensitivity","spatial sensitivity depended on temporal frequency","small trained cohort; analog display conditions",direct,"10.1007/BF00235714",,"Temporal aspects of spatial vision in the cat",1977,"Blake R; Camisa JM",Experimental Brain Research
SPA-04,"Spatial acuity, temporal resolution, and display rendering",behavioral,yes,yes,"awake domestic cats",3,"gratings across six log units of luminance","operant contrast testing; human comparator","contrast sensitivity and resolution","lower light shifted feline sensitivity toward lower spatial frequencies","n=3; thresholds depend on retinal illumination and geometry",direct,"10.1016/0042-6989(81)90240-6",,"The luminance dependence of spatial vision in the cat",1981,"Pasternak T; Merigan WH",Vision Research
SPA-05,"Spatial acuity, temporal resolution, and display rendering",neurophysiology,yes,yes,"cat retinal preparations",NR,"spatiotemporal sinusoidal gratings","retinal ganglion-cell recording","frequency response","X and Y cells differed in spatiotemporal tuning","invasive physiology; capacity only; display translation indirect",indirect,"10.1085/jgp.89.4.599",,"Spatiotemporal frequency responses of cat retinal ganglion cells",1987,"Frishman LJ; Freeman AW; Troy JB; Schweitzer-Tong DE; Enroth-Cugell C",Journal of General Physiology
